anno cens,Sottosistemi territoriali,Com_Den,Località,Loc_Fr di rif_GEOGRAFICHE,Loc_Cod,Località 1951,Loc_pop res,Com_n fam,Com_abitazioni occupate,"Com_abitazioni non occupate ",% ab non occupate / tot,"% ab occupate / tot ",Com_pop attiva,Com_pop non attiva,Com_pop occ I settore,Com_pop occ II III settore,concat
1951 (https://www.notion.so/1951-19c6722e2f3942aeb7ff8faebc3ef5a4?pvs=21),,Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21),,,,,,120,120,221,0.648093841642,0.351906158358,176,357,27,149,
,Menarola (https://www.notion.so/Menarola-11c7c49d99b1805fa8a7f396c7e79f7b?pvs=21),Menarola (https://www.notion.so/Menarola-94123965fee94a9bad19784a7697d724?pvs=21),,Menarola,3,case sparse,16,,,,,,,,,,case sparse Menarola_1861_1951_2001
,Menarola (https://www.notion.so/Menarola-11c7c49d99b1805fa8a7f396c7e79f7b?pvs=21),Menarola (https://www.notion.so/Menarola-94123965fee94a9bad19784a7697d724?pvs=21),,Pizzo della Forcola,4, ,,,,,,,,,,,
,Menarola (https://www.notion.so/Menarola-11c7c49d99b1805fa8a7f396c7e79f7b?pvs=21),Menarola (https://www.notion.so/Menarola-94123965fee94a9bad19784a7697d724?pvs=21),,Menarola,2,Motto,31,,,,,,,,,,Motto_1951_2001
,Menarola (https://www.notion.so/Menarola-11c7c49d99b1805fa8a7f396c7e79f7b?pvs=21),Menarola (https://www.notion.so/Menarola-94123965fee94a9bad19784a7697d724?pvs=21),,Menarola,2,Bortolotto,28,,,,,,,,,,Bortolotto_1951
,Menarola (https://www.notion.so/Menarola-11c7c49d99b1805fa8a7f396c7e79f7b?pvs=21),Menarola (https://www.notion.so/Menarola-94123965fee94a9bad19784a7697d724?pvs=21),,Menarola,2,Gradesella,19,,,,,,,,,,Gradesella
,Menarola (https://www.notion.so/Menarola-11c7c49d99b1805fa8a7f396c7e79f7b?pvs=21),Menarola (https://www.notion.so/Menarola-94123965fee94a9bad19784a7697d724?pvs=21),,Menarola,2,Castenedi,26,,,,,,,,,,Castenedi
,Menarola (https://www.notion.so/Menarola-11c7c49d99b1805fa8a7f396c7e79f7b?pvs=21),Menarola (https://www.notion.so/Menarola-94123965fee94a9bad19784a7697d724?pvs=21),,Menarola,1,Foppo,94,,,,,,,,,,Foppo
,Menarola (https://www.notion.so/Menarola-11c7c49d99b1805fa8a7f396c7e79f7b?pvs=21),Menarola (https://www.notion.so/Menarola-94123965fee94a9bad19784a7697d724?pvs=21),,Menarola,2,Voga,57,,,,,,,,,,Voga
,Menarola (https://www.notion.so/Menarola-11c7c49d99b1805fa8a7f396c7e79f7b?pvs=21),Menarola (https://www.notion.so/Menarola-94123965fee94a9bad19784a7697d724?pvs=21),,,,,,58,53,85,0.615942028986,0.384057971014,,,78,40,
1951 (https://www.notion.so/1951-11c7c49d99b180719cc8e826e906ba03?pvs=21),Mese (https://www.notion.so/Mese-11c7c49d99b180cd9ed8fcce3a12175a?pvs=21),Mese (https://www.notion.so/Mese-cc7fcc078e394bc895bd367f637beb3d?pvs=21),,,,,,214,223,176,0.441102756892,0.558897243108,326,533,129,197,
1951 (https://www.notion.so/1951-11c7c49d99b180719cc8e826e906ba03?pvs=21),Mese (https://www.notion.so/Mese-11c7c49d99b180cd9ed8fcce3a12175a?pvs=21),Mese (https://www.notion.so/Mese-cc7fcc078e394bc895bd367f637beb3d?pvs=21),Scandolera (https://www.notion.so/Scandolera-11c7c49d99b180a384faff2ff9e6ab45?pvs=21),Mese,2,Scandolera,212,,,,,,,,,,Scandolera
1951 (https://www.notion.so/1951-11c7c49d99b180719cc8e826e906ba03?pvs=21),Mese (https://www.notion.so/Mese-11c7c49d99b180cd9ed8fcce3a12175a?pvs=21),Mese (https://www.notion.so/Mese-cc7fcc078e394bc895bd367f637beb3d?pvs=21),S Vittore (https://www.notion.so/S-Vittore-bbf1216657274b71aa1b7c1c0eb85377?pvs=21),Mese,1,S Vittore,243,,,,,,,,,,S Vittore
1951 (https://www.notion.so/1951-11c7c49d99b180719cc8e826e906ba03?pvs=21),Mese (https://www.notion.so/Mese-11c7c49d99b180cd9ed8fcce3a12175a?pvs=21),Mese (https://www.notion.so/Mese-cc7fcc078e394bc895bd367f637beb3d?pvs=21),Piatti (https://www.notion.so/Piatti-5106db3bf8e740a68222da3021c41dcf?pvs=21),Mese,2,Piatti,93,,,,,,,,,,Piatti
1951 (https://www.notion.so/1951-11c7c49d99b180719cc8e826e906ba03?pvs=21),Mese (https://www.notion.so/Mese-11c7c49d99b180cd9ed8fcce3a12175a?pvs=21),Mese (https://www.notion.so/Mese-cc7fcc078e394bc895bd367f637beb3d?pvs=21),,Mese,2,Motto,27,,,,,,,,,,Motto_1951_2011
1951 (https://www.notion.so/1951-11c7c49d99b180719cc8e826e906ba03?pvs=21),Mese (https://www.notion.so/Mese-11c7c49d99b180cd9ed8fcce3a12175a?pvs=21),Mese (https://www.notion.so/Mese-cc7fcc078e394bc895bd367f637beb3d?pvs=21),Madonna delle Grazie / Peverello (https://www.notion.so/Madonna-delle-Grazie-Peverello-6bb8a0d5975d43fb803907f3d4858b13?pvs=21),Mese,2,Madonna delle Grazie,49,,,,,,,,,,Madonna delle Grazie / Peverello
1951 (https://www.notion.so/1951-11c7c49d99b180719cc8e826e906ba03?pvs=21),Mese (https://www.notion.so/Mese-11c7c49d99b180cd9ed8fcce3a12175a?pvs=21),Mese (https://www.notion.so/Mese-cc7fcc078e394bc895bd367f637beb3d?pvs=21),,Mese,3,case sparse,94,,,,,,,,,,case sparse Mese_1861_1951_2001
1951 (https://www.notion.so/1951-11c7c49d99b180719cc8e826e906ba03?pvs=21),Mese (https://www.notion.so/Mese-11c7c49d99b180cd9ed8fcce3a12175a?pvs=21),Mese (https://www.notion.so/Mese-cc7fcc078e394bc895bd367f637beb3d?pvs=21),,Mese,2,Cappella Grande,141,,,,,,,,,,Cappella Grande_np - 1951
1951 (https://www.notion.so/1951-11c7c49d99b180719cc8e826e906ba03?pvs=21),Novate (https://www.notion.so/Novate-11c7c49d99b180eead97dde5ee1a4266?pvs=21),Novate Mezzola (https://www.notion.so/Novate-Mezzola-a2b352fb0d07487cb22ffad258c4e766?pvs=21),,Novate Mezzola,3,case sparse,19,,,,,,,,,,case sparse Novate Mezzola_1861_2001
1951 (https://www.notion.so/1951-11c7c49d99b180719cc8e826e906ba03?pvs=21),Novate (https://www.notion.so/Novate-11c7c49d99b180eead97dde5ee1a4266?pvs=21),Novate Mezzola (https://www.notion.so/Novate-Mezzola-a2b352fb0d07487cb22ffad258c4e766?pvs=21),,Lago di Mezzola,4, ,0,,,,,,,,,,
1951 (https://www.notion.so/1951-11c7c49d99b180719cc8e826e906ba03?pvs=21),Novate (https://www.notion.so/Novate-11c7c49d99b180eead97dde5ee1a4266?pvs=21),Novate Mezzola (https://www.notion.so/Novate-Mezzola-a2b352fb0d07487cb22ffad258c4e766?pvs=21),,Pizzo Ligoncio,4, ,0,,,,,,,,,,
1951 (https://www.notion.so/1951-11c7c49d99b180719cc8e826e906ba03?pvs=21),Novate (https://www.notion.so/Novate-11c7c49d99b180eead97dde5ee1a4266?pvs=21),Novate Mezzola (https://www.notion.so/Novate-Mezzola-a2b352fb0d07487cb22ffad258c4e766?pvs=21),Cola (https://www.notion.so/Cola-ec8c6fb8dcf84f09bb32f06cc66aac7d?pvs=21),Campo,2,Cola,0,,,,,,,,,,Cola
1951 (https://www.notion.so/1951-11c7c49d99b180719cc8e826e906ba03?pvs=21),Novate (https://www.notion.so/Novate-11c7c49d99b180eead97dde5ee1a4266?pvs=21),Novate Mezzola (https://www.notion.so/Novate-Mezzola-a2b352fb0d07487cb22ffad258c4e766?pvs=21),Avedee (https://www.notion.so/Avedee-c54041a842ac416ea0818c5142076977?pvs=21),Codera,2,Avedee,18,,,,,,,,,,Avedee
1951 (https://www.notion.so/1951-11c7c49d99b180719cc8e826e906ba03?pvs=21),Novate (https://www.notion.so/Novate-11c7c49d99b180eead97dde5ee1a4266?pvs=21),Novate Mezzola (https://www.notion.so/Novate-Mezzola-a2b352fb0d07487cb22ffad258c4e766?pvs=21),Codera (https://www.notion.so/Codera-e98e4da4ce914a1ba920b54e87a90c20?pvs=21),Codera,1,Codera,128,,,,,,,,,,Codera
1951 (https://www.notion.so/1951-11c7c49d99b180719cc8e826e906ba03?pvs=21),Novate (https://www.notion.so/Novate-11c7c49d99b180eead97dde5ee1a4266?pvs=21),Novate Mezzola (https://www.notion.so/Novate-Mezzola-a2b352fb0d07487cb22ffad258c4e766?pvs=21),Campo (https://www.notion.so/Campo-292fe400af754ec19e8f8c1192e2e79f?pvs=21),Campo,1,Campo,468,,,,,,,,,,Campo
1951 (https://www.notion.so/1951-11c7c49d99b180719cc8e826e906ba03?pvs=21),Novate (https://www.notion.so/Novate-11c7c49d99b180eead97dde5ee1a4266?pvs=21),Novate Mezzola (https://www.notion.so/Novate-Mezzola-a2b352fb0d07487cb22ffad258c4e766?pvs=21),Novate Mezzola (https://www.notion.so/Novate-Mezzola-69f77bb83ba44025841ed3476cd9a00f?pvs=21),Novate Mezzola,1,Novate Mezzola,1003,,,,,,,,,,Novate Mezzola
1951 (https://www.notion.so/1951-11c7c49d99b180719cc8e826e906ba03?pvs=21),Novate (https://www.notion.so/Novate-11c7c49d99b180eead97dde5ee1a4266?pvs=21),Novate Mezzola (https://www.notion.so/Novate-Mezzola-a2b352fb0d07487cb22ffad258c4e766?pvs=21),,,,,,400,395,52,0.116331096197,0.883668903803,,,63,348,
1951 (https://www.notion.so/1951-11c7c49d99b180719cc8e826e906ba03?pvs=21),Piuro (https://www.notion.so/Piuro-11c7c49d99b18047bb73ee5214adb1d2?pvs=21),Piuro (https://www.notion.so/Piuro-198ac9109da344c6bcc90d755170b975?pvs=21),,,,,,395,406,393,0.491864831039,0.508135168961,631,1192,259,372,
1951 (https://www.notion.so/1951-11c7c49d99b180719cc8e826e906ba03?pvs=21),Piuro (https://www.notion.so/Piuro-11c7c49d99b18047bb73ee5214adb1d2?pvs=21),Piuro (https://www.notion.so/Piuro-198ac9109da344c6bcc90d755170b975?pvs=21),Borgonuovo (https://www.notion.so/Borgonuovo-11c7c49d99b18012aa53d6ed4ac9b26c?pvs=21),Borgonovo,3,case sparse,15,,,,,,,,,,case sparse Borgonovo / Borgonuovo_1951
1951 (https://www.notion.so/1951-11c7c49d99b180719cc8e826e906ba03?pvs=21),Piuro (https://www.notion.so/Piuro-11c7c49d99b18047bb73ee5214adb1d2?pvs=21),Piuro (https://www.notion.so/Piuro-198ac9109da344c6bcc90d755170b975?pvs=21),Prosto (https://www.notion.so/Prosto-c8ebb65685b7453b8d65f6aa7f894899?pvs=21),Prosto,3,case sparse,1,,,,,,,,,,case sparse Prosto_1951
1951 (https://www.notion.so/1951-11c7c49d99b180719cc8e826e906ba03?pvs=21),Piuro (https://www.notion.so/Piuro-11c7c49d99b18047bb73ee5214adb1d2?pvs=21),Piuro (https://www.notion.so/Piuro-198ac9109da344c6bcc90d755170b975?pvs=21),,Laghi,4,,0,,,,,,,,,,
