anno cens,Com_Den,Sottosistemi territoriali,Località - centri 1901,Fr_pop res,Com_n fam
1901 (https://www.notion.so/1901-11c7c49d99b1807d9766c7745a2b1500?pvs=21),Piuro (https://www.notion.so/Piuro-198ac9109da344c6bcc90d755170b975?pvs=21),Piuro (https://www.notion.so/Piuro-11c7c49d99b18047bb73ee5214adb1d2?pvs=21),Prosto,609,
1901 (https://www.notion.so/1901-11c7c49d99b1807d9766c7745a2b1500?pvs=21),Prata Camportaccio (https://www.notion.so/Prata-Camportaccio-0d1eb1359aef447495ccd26ded9968e8?pvs=21),Prata (https://www.notion.so/Prata-11c7c49d99b180c693e1d9e78c586d94?pvs=21),,,311
1901 (https://www.notion.so/1901-11c7c49d99b1807d9766c7745a2b1500?pvs=21),Prata Camportaccio (https://www.notion.so/Prata-Camportaccio-0d1eb1359aef447495ccd26ded9968e8?pvs=21),Prata (https://www.notion.so/Prata-11c7c49d99b180c693e1d9e78c586d94?pvs=21),Stovano,180,
1901 (https://www.notion.so/1901-11c7c49d99b1807d9766c7745a2b1500?pvs=21),Prata Camportaccio (https://www.notion.so/Prata-Camportaccio-0d1eb1359aef447495ccd26ded9968e8?pvs=21),Prata (https://www.notion.so/Prata-11c7c49d99b180c693e1d9e78c586d94?pvs=21),Porattina,124,
1901 (https://www.notion.so/1901-11c7c49d99b1807d9766c7745a2b1500?pvs=21),Prata Camportaccio (https://www.notion.so/Prata-Camportaccio-0d1eb1359aef447495ccd26ded9968e8?pvs=21),Prata (https://www.notion.so/Prata-11c7c49d99b180c693e1d9e78c586d94?pvs=21),Malaguardia,113,
1901 (https://www.notion.so/1901-11c7c49d99b1807d9766c7745a2b1500?pvs=21),Prata Camportaccio (https://www.notion.so/Prata-Camportaccio-0d1eb1359aef447495ccd26ded9968e8?pvs=21),Prata (https://www.notion.so/Prata-11c7c49d99b180c693e1d9e78c586d94?pvs=21),S Cassiano,249,
1901 (https://www.notion.so/1901-11c7c49d99b1807d9766c7745a2b1500?pvs=21),Prata Camportaccio (https://www.notion.so/Prata-Camportaccio-0d1eb1359aef447495ccd26ded9968e8?pvs=21),Prata (https://www.notion.so/Prata-11c7c49d99b180c693e1d9e78c586d94?pvs=21),Lottano,312,
1901 (https://www.notion.so/1901-11c7c49d99b1807d9766c7745a2b1500?pvs=21),Prata Camportaccio (https://www.notion.so/Prata-Camportaccio-0d1eb1359aef447495ccd26ded9968e8?pvs=21),Prata (https://www.notion.so/Prata-11c7c49d99b180c693e1d9e78c586d94?pvs=21),Prata,297,
1901 (https://www.notion.so/1901-11c7c49d99b1807d9766c7745a2b1500?pvs=21),Samolaco (https://www.notion.so/Samolaco-8fd0925aa0a2408292ac6d9755e22761?pvs=21),,,,397
1901 (https://www.notion.so/1901-11c7c49d99b1807d9766c7745a2b1500?pvs=21),Samolaco (https://www.notion.so/Samolaco-8fd0925aa0a2408292ac6d9755e22761?pvs=21),Samolaco (https://www.notion.so/Samolaco-11c7c49d99b180219498ebb70231c750?pvs=21),Somaggia,329,
1901 (https://www.notion.so/1901-11c7c49d99b1807d9766c7745a2b1500?pvs=21),Samolaco (https://www.notion.so/Samolaco-8fd0925aa0a2408292ac6d9755e22761?pvs=21),Samolaco (https://www.notion.so/Samolaco-11c7c49d99b180219498ebb70231c750?pvs=21),S Andrea,825,
1901 (https://www.notion.so/1901-11c7c49d99b1807d9766c7745a2b1500?pvs=21),Samolaco (https://www.notion.so/Samolaco-8fd0925aa0a2408292ac6d9755e22761?pvs=21),Samolaco (https://www.notion.so/Samolaco-11c7c49d99b180219498ebb70231c750?pvs=21),S Pietro,766,
1901 (https://www.notion.so/1901-11c7c49d99b1807d9766c7745a2b1500?pvs=21),San Giacomo Filippo (https://www.notion.so/San-Giacomo-Filippo-4442b9bbbf894587be85a28aa25c1e2c?pvs=21),,,,367
1901 (https://www.notion.so/1901-11c7c49d99b1807d9766c7745a2b1500?pvs=21),San Giacomo Filippo (https://www.notion.so/San-Giacomo-Filippo-4442b9bbbf894587be85a28aa25c1e2c?pvs=21),Sommarovina (https://www.notion.so/Sommarovina-0baad02d2acf40fea6532e11d2ad5f28?pvs=21),Sommarovina,221,
1901 (https://www.notion.so/1901-11c7c49d99b1807d9766c7745a2b1500?pvs=21),San Giacomo Filippo (https://www.notion.so/San-Giacomo-Filippo-4442b9bbbf894587be85a28aa25c1e2c?pvs=21),San Giacomo Filippo (https://www.notion.so/San-Giacomo-Filippo-e18092e4bc0948ceb4db7f57c981a030?pvs=21),Dalo,99,
1901 (https://www.notion.so/1901-11c7c49d99b1807d9766c7745a2b1500?pvs=21),San Giacomo Filippo (https://www.notion.so/San-Giacomo-Filippo-4442b9bbbf894587be85a28aa25c1e2c?pvs=21),San Giacomo Filippo (https://www.notion.so/San-Giacomo-Filippo-e18092e4bc0948ceb4db7f57c981a030?pvs=21),S Giacomo,229,
1901 (https://www.notion.so/1901-11c7c49d99b1807d9766c7745a2b1500?pvs=21),San Giacomo Filippo (https://www.notion.so/San-Giacomo-Filippo-4442b9bbbf894587be85a28aa25c1e2c?pvs=21),San Bernardo (https://www.notion.so/San-Bernardo-026e9f633635428bae3ee14694a74cd8?pvs=21),S Bernardo,227,
1901 (https://www.notion.so/1901-11c7c49d99b1807d9766c7745a2b1500?pvs=21),San Giacomo Filippo (https://www.notion.so/San-Giacomo-Filippo-4442b9bbbf894587be85a28aa25c1e2c?pvs=21),Sant'Antonio di Albareda (https://www.notion.so/Sant-Antonio-di-Albareda-b618e2cef2014c2f83e17847b229f44e?pvs=21),S Antonio,249,
1901 (https://www.notion.so/1901-11c7c49d99b1807d9766c7745a2b1500?pvs=21),San Giacomo Filippo (https://www.notion.so/San-Giacomo-Filippo-4442b9bbbf894587be85a28aa25c1e2c?pvs=21),Olmo (https://www.notion.so/Olmo-e266e73304de44659843f19c2192bf9a?pvs=21),Olmo,402,
1901 (https://www.notion.so/1901-11c7c49d99b1807d9766c7745a2b1500?pvs=21),San Giacomo Filippo (https://www.notion.so/San-Giacomo-Filippo-4442b9bbbf894587be85a28aa25c1e2c?pvs=21),Lirone/Gallivaggio (https://www.notion.so/Lirone-Gallivaggio-74919d941e124f1b93ad293980a67d4f?pvs=21),Gallivaggio,294,
1901 (https://www.notion.so/1901-11c7c49d99b1807d9766c7745a2b1500?pvs=21),Verceia (https://www.notion.so/Verceia-f622dc3b55e7451abebca40085f23e45?pvs=21),Verceia (https://www.notion.so/Verceia-11c7c49d99b1804c8f68fe6a53144479?pvs=21),Verceja,893,186
1901 (https://www.notion.so/1901-11c7c49d99b1807d9766c7745a2b1500?pvs=21),Villa di Chiavenna (https://www.notion.so/Villa-di-Chiavenna-4a8dcbb56a96424487dfa1fe612d9f71?pvs=21),Villa di Chiavenna (https://www.notion.so/Villa-di-Chiavenna-11c7c49d99b1808c9140c8a0867a16b9?pvs=21),,,253
1901 (https://www.notion.so/1901-11c7c49d99b1807d9766c7745a2b1500?pvs=21),Villa di Chiavenna (https://www.notion.so/Villa-di-Chiavenna-4a8dcbb56a96424487dfa1fe612d9f71?pvs=21),Villa di Chiavenna (https://www.notion.so/Villa-di-Chiavenna-11c7c49d99b1808c9140c8a0867a16b9?pvs=21),Ponteggia,450,
1901 (https://www.notion.so/1901-11c7c49d99b1807d9766c7745a2b1500?pvs=21),Villa di Chiavenna (https://www.notion.so/Villa-di-Chiavenna-4a8dcbb56a96424487dfa1fe612d9f71?pvs=21),Villa di Chiavenna (https://www.notion.so/Villa-di-Chiavenna-11c7c49d99b1808c9140c8a0867a16b9?pvs=21),Chete,298,
1901 (https://www.notion.so/1901-11c7c49d99b1807d9766c7745a2b1500?pvs=21),Villa di Chiavenna (https://www.notion.so/Villa-di-Chiavenna-4a8dcbb56a96424487dfa1fe612d9f71?pvs=21),Villa di Chiavenna (https://www.notion.so/Villa-di-Chiavenna-11c7c49d99b1808c9140c8a0867a16b9?pvs=21),Ca Scattoni,564,
