anno cens,Com_Den,"Sottosistemi territoriali ",Località - centri,Fr_pop res
1881 (https://www.notion.so/1881-39df4eb50abf4c089873c785a371a25d?pvs=21),Samolaco (https://www.notion.so/Samolaco-8fd0925aa0a2408292ac6d9755e22761?pvs=21),Samolaco (https://www.notion.so/Samolaco-11c7c49d99b180219498ebb70231c750?pvs=21),Schenone,88
1881 (https://www.notion.so/1881-39df4eb50abf4c089873c785a371a25d?pvs=21),Samolaco (https://www.notion.so/Samolaco-8fd0925aa0a2408292ac6d9755e22761?pvs=21),Samolaco (https://www.notion.so/Samolaco-11c7c49d99b180219498ebb70231c750?pvs=21),Vigazzolo,89
1881 (https://www.notion.so/1881-39df4eb50abf4c089873c785a371a25d?pvs=21),Samolaco (https://www.notion.so/Samolaco-8fd0925aa0a2408292ac6d9755e22761?pvs=21),Samolaco (https://www.notion.so/Samolaco-11c7c49d99b180219498ebb70231c750?pvs=21),Casenda,145
1881 (https://www.notion.so/1881-39df4eb50abf4c089873c785a371a25d?pvs=21),Samolaco (https://www.notion.so/Samolaco-8fd0925aa0a2408292ac6d9755e22761?pvs=21),Samolaco (https://www.notion.so/Samolaco-11c7c49d99b180219498ebb70231c750?pvs=21),Pajedo,39
1881 (https://www.notion.so/1881-39df4eb50abf4c089873c785a371a25d?pvs=21),Samolaco (https://www.notion.so/Samolaco-8fd0925aa0a2408292ac6d9755e22761?pvs=21),Samolaco (https://www.notion.so/Samolaco-11c7c49d99b180219498ebb70231c750?pvs=21),Nogaredo superiore e inferiore,104
1881 (https://www.notion.so/1881-39df4eb50abf4c089873c785a371a25d?pvs=21),Samolaco (https://www.notion.so/Samolaco-8fd0925aa0a2408292ac6d9755e22761?pvs=21),Samolaco (https://www.notion.so/Samolaco-11c7c49d99b180219498ebb70231c750?pvs=21),Montenuovo,94
1881 (https://www.notion.so/1881-39df4eb50abf4c089873c785a371a25d?pvs=21),Samolaco (https://www.notion.so/Samolaco-8fd0925aa0a2408292ac6d9755e22761?pvs=21),Samolaco (https://www.notion.so/Samolaco-11c7c49d99b180219498ebb70231c750?pvs=21),Fontanedo,165
1881 (https://www.notion.so/1881-39df4eb50abf4c089873c785a371a25d?pvs=21),Samolaco (https://www.notion.so/Samolaco-8fd0925aa0a2408292ac6d9755e22761?pvs=21),Samolaco (https://www.notion.so/Samolaco-11c7c49d99b180219498ebb70231c750?pvs=21),Era,213
1881 (https://www.notion.so/1881-39df4eb50abf4c089873c785a371a25d?pvs=21),Samolaco (https://www.notion.so/Samolaco-8fd0925aa0a2408292ac6d9755e22761?pvs=21),Samolaco (https://www.notion.so/Samolaco-11c7c49d99b180219498ebb70231c750?pvs=21),Ronscione,267
1881 (https://www.notion.so/1881-39df4eb50abf4c089873c785a371a25d?pvs=21),Samolaco (https://www.notion.so/Samolaco-8fd0925aa0a2408292ac6d9755e22761?pvs=21),Samolaco (https://www.notion.so/Samolaco-11c7c49d99b180219498ebb70231c750?pvs=21),Monastero,89
