Comuni;Sottosistema;Denominazione;Codice localita;slm;Reti servizi presenti;Accessibilità principale;Viabilità interna;res 2022 - da verificare
Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21);Pianazzo (https://www.notion.so/Pianazzo-9f9b9d1526c9467c9ae038e81542f120?pvs=21), Rasdeglia (https://www.notion.so/Rasdeglia-acd2d238fd7c41de931a39327901c075?pvs=21);Alpe Crotto;3;;;sentiero;pedonale, terra battuta;
Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21);Pianazzo (https://www.notion.so/Pianazzo-9f9b9d1526c9467c9ae038e81542f120?pvs=21), Rasdeglia (https://www.notion.so/Rasdeglia-acd2d238fd7c41de931a39327901c075?pvs=21);Alpe Le Mede / Met;3;1907;;sentiero;pedonale, terra battuta;
Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21);Isola (https://www.notion.so/Isola-e75fd7d7fa144606849e2486d9a741fe?pvs=21);Isola;1;1258;BT, ILL, P, RE, RI, RT;strada asfaltata;veicolare;27
Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21);Isola (https://www.notion.so/Isola-e75fd7d7fa144606849e2486d9a741fe?pvs=21);Mottaletta;2;1345;ILL, RE, RI;sentiero, strada sterrata;pedonale, terra battuta;3
Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21);Isola (https://www.notion.so/Isola-e75fd7d7fa144606849e2486d9a741fe?pvs=21);Ganda;3;1475;RE, RI;sentiero, strada sterrata;pedonale, terra battuta;
Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21);Isola (https://www.notion.so/Isola-e75fd7d7fa144606849e2486d9a741fe?pvs=21);Canto;3;1435;RE, RI;strada asfaltata;pedonale, terra battuta;
Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21);Isola (https://www.notion.so/Isola-e75fd7d7fa144606849e2486d9a741fe?pvs=21);Case Gossi;3;1284;ILL, RE, RI;strada asfaltata;pedonale, terra battuta;2
Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21);Isola (https://www.notion.so/Isola-e75fd7d7fa144606849e2486d9a741fe?pvs=21);Ca Raseri;3;1487;RE, RI;strada asfaltata;pedonale, terra battuta;
Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21);Isola (https://www.notion.so/Isola-e75fd7d7fa144606849e2486d9a741fe?pvs=21);Valle;3;1554;RE, RI;sentiero;pedonale, terra battuta;
Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21);Isola (https://www.notion.so/Isola-e75fd7d7fa144606849e2486d9a741fe?pvs=21);Stabisotto;;;RE, RI;sentiero, strada asfaltata, strada sterrata;pedonale, terra battuta;
Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21);Isola (https://www.notion.so/Isola-e75fd7d7fa144606849e2486d9a741fe?pvs=21);Teciai;3;1759;RE, RI;sentiero;pedonale, terra battuta;
Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21);Isola (https://www.notion.so/Isola-e75fd7d7fa144606849e2486d9a741fe?pvs=21);Alpe Frondaglio;3;1682;RE, RI;sentiero, strada sterrata;pedonale, terra battuta;
