Sottosistemi territoriali,Località,Comuni,SEZ2011,Com_Den,Pop_Res,case occ,case non occ,concat,%CASE NN OCC / TOT,%CASE occupate / TOT
Chiavenna (https://www.notion.so/Chiavenna-11c7c49d99b1804a9920f26be4637c2b?pvs=21),,Chiavenna (https://www.notion.so/Chiavenna-0a208f1ee6334934bdcb6c582d9e2a15?pvs=21),140180000027,Chiavenna,2,2,56,Uschione,0.965517241379,0.034482758621
Chiavenna (https://www.notion.so/Chiavenna-11c7c49d99b1804a9920f26be4637c2b?pvs=21),,Chiavenna (https://www.notion.so/Chiavenna-0a208f1ee6334934bdcb6c582d9e2a15?pvs=21),140180000028,Chiavenna,37,12,3,Chiavenna,0.2,0.8
Gordona (https://www.notion.so/Gordona-11c7c49d99b180bebff2c2e5fbb5dd5e?pvs=21),,Gordona (https://www.notion.so/Gordona-232ecdffea2843e88b7b8424258e707f?pvs=21),140320000001,Gordona,921,364,103,Gordona,0.220556745182,0.779443254818
Gordona (https://www.notion.so/Gordona-11c7c49d99b180bebff2c2e5fbb5dd5e?pvs=21),,Gordona (https://www.notion.so/Gordona-232ecdffea2843e88b7b8424258e707f?pvs=21),140320000002,Gordona,502,193,49,Gordona,0.202479338843,0.797520661157
Gordona (https://www.notion.so/Gordona-11c7c49d99b180bebff2c2e5fbb5dd5e?pvs=21),,Gordona (https://www.notion.so/Gordona-232ecdffea2843e88b7b8424258e707f?pvs=21),140320000003,Gordona,254,109,44,Coloredo,0.287581699346,0.712418300654
Gordona (https://www.notion.so/Gordona-11c7c49d99b180bebff2c2e5fbb5dd5e?pvs=21),,Gordona (https://www.notion.so/Gordona-232ecdffea2843e88b7b8424258e707f?pvs=21),140320000005,Gordona,93,39,11,Coloredo,0.22,0.78
Gordona (https://www.notion.so/Gordona-11c7c49d99b180bebff2c2e5fbb5dd5e?pvs=21),,Gordona (https://www.notion.so/Gordona-232ecdffea2843e88b7b8424258e707f?pvs=21),140320000008,Gordona,1,1,1,Area Industriale,0.5,0.5
Gordona (https://www.notion.so/Gordona-11c7c49d99b180bebff2c2e5fbb5dd5e?pvs=21),,Gordona (https://www.notion.so/Gordona-232ecdffea2843e88b7b8424258e707f?pvs=21),140320000009,Gordona,0,0,17,Corte Terza,1,0
Gordona (https://www.notion.so/Gordona-11c7c49d99b180bebff2c2e5fbb5dd5e?pvs=21),,Gordona (https://www.notion.so/Gordona-232ecdffea2843e88b7b8424258e707f?pvs=21),140320000010,Gordona,0,0,83,Bodengo,1,0
Gordona (https://www.notion.so/Gordona-11c7c49d99b180bebff2c2e5fbb5dd5e?pvs=21),,Gordona (https://www.notion.so/Gordona-232ecdffea2843e88b7b8424258e707f?pvs=21),140320000011,Gordona,0,0,36,Prato Pince�,1,0
