anno cens,Comuni,Sottosistemi territoriali,Località - centri,Fr_pop res,Fr_n fam
1921 (https://www.notion.so/1921-11c7c49d99b18007a8c2d0da24fca33d?pvs=21),Gordona (https://www.notion.so/Gordona-232ecdffea2843e88b7b8424258e707f?pvs=21),Gordona (https://www.notion.so/Gordona-11c7c49d99b180bebff2c2e5fbb5dd5e?pvs=21),Pendoglia,321,74
1921 (https://www.notion.so/1921-11c7c49d99b18007a8c2d0da24fca33d?pvs=21),Gordona (https://www.notion.so/Gordona-232ecdffea2843e88b7b8424258e707f?pvs=21),Gordona (https://www.notion.so/Gordona-11c7c49d99b180bebff2c2e5fbb5dd5e?pvs=21),Coloredo,314,88
1921 (https://www.notion.so/1921-11c7c49d99b18007a8c2d0da24fca33d?pvs=21),Gordona (https://www.notion.so/Gordona-232ecdffea2843e88b7b8424258e707f?pvs=21),Gordona (https://www.notion.so/Gordona-11c7c49d99b180bebff2c2e5fbb5dd5e?pvs=21),Cimavilla,80,18
1921 (https://www.notion.so/1921-11c7c49d99b18007a8c2d0da24fca33d?pvs=21),Gordona (https://www.notion.so/Gordona-232ecdffea2843e88b7b8424258e707f?pvs=21),Gordona (https://www.notion.so/Gordona-11c7c49d99b180bebff2c2e5fbb5dd5e?pvs=21),Gasparoni,177,40
1921 (https://www.notion.so/1921-11c7c49d99b18007a8c2d0da24fca33d?pvs=21),Gordona (https://www.notion.so/Gordona-232ecdffea2843e88b7b8424258e707f?pvs=21),Gordona (https://www.notion.so/Gordona-11c7c49d99b180bebff2c2e5fbb5dd5e?pvs=21),Ponte,160,36
1921 (https://www.notion.so/1921-11c7c49d99b18007a8c2d0da24fca33d?pvs=21),Verceia (https://www.notion.so/Verceia-f622dc3b55e7451abebca40085f23e45?pvs=21),Verceia (https://www.notion.so/Verceia-11c7c49d99b1804c8f68fe6a53144479?pvs=21),Verceia,951,192
1921 (https://www.notion.so/1921-11c7c49d99b18007a8c2d0da24fca33d?pvs=21),Samolaco (https://www.notion.so/Samolaco-8fd0925aa0a2408292ac6d9755e22761?pvs=21),Samolaco (https://www.notion.so/Samolaco-11c7c49d99b180219498ebb70231c750?pvs=21),S Pietro,928,188
1921 (https://www.notion.so/1921-11c7c49d99b18007a8c2d0da24fca33d?pvs=21),Samolaco (https://www.notion.so/Samolaco-8fd0925aa0a2408292ac6d9755e22761?pvs=21),Samolaco (https://www.notion.so/Samolaco-11c7c49d99b180219498ebb70231c750?pvs=21),Somaggia,464,115
1921 (https://www.notion.so/1921-11c7c49d99b18007a8c2d0da24fca33d?pvs=21),Samolaco (https://www.notion.so/Samolaco-8fd0925aa0a2408292ac6d9755e22761?pvs=21),Samolaco (https://www.notion.so/Samolaco-11c7c49d99b180219498ebb70231c750?pvs=21),S Andrea,952,190
1921 (https://www.notion.so/1921-11c7c49d99b18007a8c2d0da24fca33d?pvs=21),Menarola (https://www.notion.so/Menarola-94123965fee94a9bad19784a7697d724?pvs=21),Menarola (https://www.notion.so/Menarola-11c7c49d99b1805fa8a7f396c7e79f7b?pvs=21),Voga,317,25
1921 (https://www.notion.so/1921-11c7c49d99b18007a8c2d0da24fca33d?pvs=21),Menarola (https://www.notion.so/Menarola-94123965fee94a9bad19784a7697d724?pvs=21),Menarola (https://www.notion.so/Menarola-11c7c49d99b1805fa8a7f396c7e79f7b?pvs=21),Ronchi,20,4
1921 (https://www.notion.so/1921-11c7c49d99b18007a8c2d0da24fca33d?pvs=21),Menarola (https://www.notion.so/Menarola-94123965fee94a9bad19784a7697d724?pvs=21),Menarola (https://www.notion.so/Menarola-11c7c49d99b1805fa8a7f396c7e79f7b?pvs=21),Gradesella,41,9
1921 (https://www.notion.so/1921-11c7c49d99b18007a8c2d0da24fca33d?pvs=21),Menarola (https://www.notion.so/Menarola-94123965fee94a9bad19784a7697d724?pvs=21),Menarola (https://www.notion.so/Menarola-11c7c49d99b1805fa8a7f396c7e79f7b?pvs=21),Castenedi,102,12
1921 (https://www.notion.so/1921-11c7c49d99b18007a8c2d0da24fca33d?pvs=21),Menarola (https://www.notion.so/Menarola-94123965fee94a9bad19784a7697d724?pvs=21),Menarola (https://www.notion.so/Menarola-11c7c49d99b1805fa8a7f396c7e79f7b?pvs=21),Foppa,109,27
1921 (https://www.notion.so/1921-11c7c49d99b18007a8c2d0da24fca33d?pvs=21),Novate Mezzola (https://www.notion.so/Novate-Mezzola-a2b352fb0d07487cb22ffad258c4e766?pvs=21),Novate (https://www.notion.so/Novate-11c7c49d99b180eead97dde5ee1a4266?pvs=21),Novate,488,109
1921 (https://www.notion.so/1921-11c7c49d99b18007a8c2d0da24fca33d?pvs=21),Novate Mezzola (https://www.notion.so/Novate-Mezzola-a2b352fb0d07487cb22ffad258c4e766?pvs=21),Novate (https://www.notion.so/Novate-11c7c49d99b180eead97dde5ee1a4266?pvs=21),Codera,555,120
1921 (https://www.notion.so/1921-11c7c49d99b18007a8c2d0da24fca33d?pvs=21),Novate Mezzola (https://www.notion.so/Novate-Mezzola-a2b352fb0d07487cb22ffad258c4e766?pvs=21),Novate (https://www.notion.so/Novate-11c7c49d99b180eead97dde5ee1a4266?pvs=21),Campo,347,75
1921 (https://www.notion.so/1921-11c7c49d99b18007a8c2d0da24fca33d?pvs=21),Prata Camportaccio (https://www.notion.so/Prata-Camportaccio-0d1eb1359aef447495ccd26ded9968e8?pvs=21),Prata (https://www.notion.so/Prata-11c7c49d99b180c693e1d9e78c586d94?pvs=21),Prata Camportaccio,874,187
1921 (https://www.notion.so/1921-11c7c49d99b18007a8c2d0da24fca33d?pvs=21),Prata Camportaccio (https://www.notion.so/Prata-Camportaccio-0d1eb1359aef447495ccd26ded9968e8?pvs=21),Prata (https://www.notion.so/Prata-11c7c49d99b180c693e1d9e78c586d94?pvs=21),S Cassiano,540,150
