Comuni,Anno cens,Com_Den,"Sottosistemi territoriali ",Località,Località _1807,Fr_Pop res,Loc_Cod,Fr_Tipo,concat
Prata Camportaccio (https://www.notion.so/Prata-Camportaccio-0d1eb1359aef447495ccd26ded9968e8?pvs=21),1807 (https://www.notion.so/1807-11b7c49d99b180fa897ef6e89d9976c1?pvs=21),Prata,Prata (https://www.notion.so/Prata-11c7c49d99b180c693e1d9e78c586d94?pvs=21),,Stova,151,1 - centro,frazione,Stovano
Prata Camportaccio (https://www.notion.so/Prata-Camportaccio-0d1eb1359aef447495ccd26ded9968e8?pvs=21),1807 (https://www.notion.so/1807-11b7c49d99b180fa897ef6e89d9976c1?pvs=21),Prata,Prata (https://www.notion.so/Prata-11c7c49d99b180c693e1d9e78c586d94?pvs=21),,S Cassiano,80,1 - centro,frazione,S Cassiano
Prata Camportaccio (https://www.notion.so/Prata-Camportaccio-0d1eb1359aef447495ccd26ded9968e8?pvs=21),1807 (https://www.notion.so/1807-11b7c49d99b180fa897ef6e89d9976c1?pvs=21),Prata,Prata (https://www.notion.so/Prata-11c7c49d99b180c693e1d9e78c586d94?pvs=21),,Prata,130,1 - centro,frazione,Prata
Prata Camportaccio (https://www.notion.so/Prata-Camportaccio-0d1eb1359aef447495ccd26ded9968e8?pvs=21),1807 (https://www.notion.so/1807-11b7c49d99b180fa897ef6e89d9976c1?pvs=21),Prata,Prata (https://www.notion.so/Prata-11c7c49d99b180c693e1d9e78c586d94?pvs=21),,Malaguardia,90,1 - centro,frazione,Malaguardia
Prata Camportaccio (https://www.notion.so/Prata-Camportaccio-0d1eb1359aef447495ccd26ded9968e8?pvs=21),1807 (https://www.notion.so/1807-11b7c49d99b180fa897ef6e89d9976c1?pvs=21),Prata,Prata (https://www.notion.so/Prata-11c7c49d99b180c693e1d9e78c586d94?pvs=21),,Lottano,200,1 - centro,frazione,Lottano
Samolaco (https://www.notion.so/Samolaco-8fd0925aa0a2408292ac6d9755e22761?pvs=21),1807 (https://www.notion.so/1807-11b7c49d99b180fa897ef6e89d9976c1?pvs=21),Samolaco,Samolaco (https://www.notion.so/Samolaco-11c7c49d99b180219498ebb70231c750?pvs=21),,Vigazzolo,36,1 - centro,frazione,Vigazzolo
Samolaco (https://www.notion.so/Samolaco-8fd0925aa0a2408292ac6d9755e22761?pvs=21),1807 (https://www.notion.so/1807-11b7c49d99b180fa897ef6e89d9976c1?pvs=21),Samolaco,Samolaco (https://www.notion.so/Samolaco-11c7c49d99b180219498ebb70231c750?pvs=21),,Somaggia,95,1 - centro,frazione,Somaggia
Samolaco (https://www.notion.so/Samolaco-8fd0925aa0a2408292ac6d9755e22761?pvs=21),1807 (https://www.notion.so/1807-11b7c49d99b180fa897ef6e89d9976c1?pvs=21),Samolaco,Samolaco (https://www.notion.so/Samolaco-11c7c49d99b180219498ebb70231c750?pvs=21),,Schenone,41,1 - centro,frazione,Schenone
Samolaco (https://www.notion.so/Samolaco-8fd0925aa0a2408292ac6d9755e22761?pvs=21),1807 (https://www.notion.so/1807-11b7c49d99b180fa897ef6e89d9976c1?pvs=21),Samolaco,Samolaco (https://www.notion.so/Samolaco-11c7c49d99b180219498ebb70231c750?pvs=21),,S Pietro,150,1 - centro,frazione,S Pietro
Samolaco (https://www.notion.so/Samolaco-8fd0925aa0a2408292ac6d9755e22761?pvs=21),1807 (https://www.notion.so/1807-11b7c49d99b180fa897ef6e89d9976c1?pvs=21),Samolaco,Samolaco (https://www.notion.so/Samolaco-11c7c49d99b180219498ebb70231c750?pvs=21),,Ronscione,125,1 - centro,frazione,Ronscione
