anno cens,Com_Den,Sottosistemi territoriali,Località,Località 1861 nome,Loc_Cod,Loc_pop res,Loc_n fam,Loc_ab occ,Loc_ab non occ,ab non occ / tot,ab occ / tot,concat
1861 (https://www.notion.so/1861-c5d43a4386f7469888bb2d7f8dd4fcda?pvs=21),Menarola (https://www.notion.so/Menarola-94123965fee94a9bad19784a7697d724?pvs=21),Menarola (https://www.notion.so/Menarola-11c7c49d99b1805fa8a7f396c7e79f7b?pvs=21),,Castenedi,1,78,13,13,2,0.133333333333,0.866666666667,Castenedi
1861 (https://www.notion.so/1861-c5d43a4386f7469888bb2d7f8dd4fcda?pvs=21),Menarola (https://www.notion.so/Menarola-94123965fee94a9bad19784a7697d724?pvs=21),Menarola (https://www.notion.so/Menarola-11c7c49d99b1805fa8a7f396c7e79f7b?pvs=21),,Voga,1,60,7,7,3,0.3,0.7,Voga
1861 (https://www.notion.so/1861-11c7c49d99b18091aadaf1e8401c641e?pvs=21),Mese (https://www.notion.so/Mese-cc7fcc078e394bc895bd367f637beb3d?pvs=21),Mese (https://www.notion.so/Mese-11c7c49d99b180cd9ed8fcce3a12175a?pvs=21),S Vittore (https://www.notion.so/S-Vittore-bbf1216657274b71aa1b7c1c0eb85377?pvs=21),case sparse ( San Vittore),3,12,6,5,9,0.642857142857,0.357142857143,case sparse Mese_1861_1951_2001
1861 (https://www.notion.so/1861-11c7c49d99b18091aadaf1e8401c641e?pvs=21),Mese (https://www.notion.so/Mese-cc7fcc078e394bc895bd367f637beb3d?pvs=21),Mese (https://www.notion.so/Mese-11c7c49d99b180cd9ed8fcce3a12175a?pvs=21),Scandolera (https://www.notion.so/Scandolera-11c7c49d99b180a384faff2ff9e6ab45?pvs=21),Scandolera,2,19,7,6,2,0.25,0.75,Scandolera
1861 (https://www.notion.so/1861-11c7c49d99b18091aadaf1e8401c641e?pvs=21),Mese (https://www.notion.so/Mese-cc7fcc078e394bc895bd367f637beb3d?pvs=21),Mese (https://www.notion.so/Mese-11c7c49d99b180cd9ed8fcce3a12175a?pvs=21),Madonna delle Grazie / Peverello (https://www.notion.so/Madonna-delle-Grazie-Peverello-6bb8a0d5975d43fb803907f3d4858b13?pvs=21),Madonna delle Grazie,2,49,9,9,5,0.357142857143,0.642857142857,Madonna delle Grazie / Peverello
1861 (https://www.notion.so/1861-11c7c49d99b18091aadaf1e8401c641e?pvs=21),Mese (https://www.notion.so/Mese-cc7fcc078e394bc895bd367f637beb3d?pvs=21),Mese (https://www.notion.so/Mese-11c7c49d99b180cd9ed8fcce3a12175a?pvs=21),Castrona (https://www.notion.so/Castrona-4fcd42e44aa44c4a8fd96cc91670f1af?pvs=21),Castrona,2,61,16,11,2,0.153846153846,0.846153846154,Castrona
1861 (https://www.notion.so/1861-11c7c49d99b18091aadaf1e8401c641e?pvs=21),Mese (https://www.notion.so/Mese-cc7fcc078e394bc895bd367f637beb3d?pvs=21),Mese (https://www.notion.so/Mese-11c7c49d99b180cd9ed8fcce3a12175a?pvs=21),S Mamete (https://www.notion.so/S-Mamete-9a5caf21e32d4e329c42fb85c46190cd?pvs=21),S Mamete,1,185,43,38,4,0.095238095238,0.904761904762,S Mamete
1861 (https://www.notion.so/1861-11c7c49d99b18091aadaf1e8401c641e?pvs=21),Mese (https://www.notion.so/Mese-cc7fcc078e394bc895bd367f637beb3d?pvs=21),Mese (https://www.notion.so/Mese-11c7c49d99b180cd9ed8fcce3a12175a?pvs=21),S Vittore (https://www.notion.so/S-Vittore-bbf1216657274b71aa1b7c1c0eb85377?pvs=21),S Vittore,1,82,22,20,8,0.285714285714,0.714285714286,S Vittore
1861 (https://www.notion.so/1861-11c7c49d99b18091aadaf1e8401c641e?pvs=21),Novate Mezzola (https://www.notion.so/Novate-Mezzola-a2b352fb0d07487cb22ffad258c4e766?pvs=21),Novate (https://www.notion.so/Novate-11c7c49d99b180eead97dde5ee1a4266?pvs=21),,case sparse (Novate),3,162,35,35,18,0.339622641509,0.660377358491,case sparse Novate Mezzola_1861_2001
1861 (https://www.notion.so/1861-11c7c49d99b18091aadaf1e8401c641e?pvs=21),Novate Mezzola (https://www.notion.so/Novate-Mezzola-a2b352fb0d07487cb22ffad258c4e766?pvs=21),Novate (https://www.notion.so/Novate-11c7c49d99b180eead97dde5ee1a4266?pvs=21),,Piazza,2,3,3,3,16,0.842105263158,0.157894736842,Piazza
1861 (https://www.notion.so/1861-11c7c49d99b18091aadaf1e8401c641e?pvs=21),Novate Mezzola (https://www.notion.so/Novate-Mezzola-a2b352fb0d07487cb22ffad258c4e766?pvs=21),Novate (https://www.notion.so/Novate-11c7c49d99b180eead97dde5ee1a4266?pvs=21),,Montagnola,2,53,11,11,4,0.266666666667,0.733333333333,Montagnola
1861 (https://www.notion.so/1861-11c7c49d99b18091aadaf1e8401c641e?pvs=21),Novate Mezzola (https://www.notion.so/Novate-Mezzola-a2b352fb0d07487cb22ffad258c4e766?pvs=21),Novate (https://www.notion.so/Novate-11c7c49d99b180eead97dde5ee1a4266?pvs=21),,Mezzoilpiano,2,98,19,19,7,0.269230769231,0.730769230769,Mezzolpiano
1861 (https://www.notion.so/1861-11c7c49d99b18091aadaf1e8401c641e?pvs=21),Novate Mezzola (https://www.notion.so/Novate-Mezzola-a2b352fb0d07487cb22ffad258c4e766?pvs=21),Novate (https://www.notion.so/Novate-11c7c49d99b180eead97dde5ee1a4266?pvs=21),,Cola,2,10,2,2,11,0.846153846154,0.153846153846,Cola
1861 (https://www.notion.so/1861-11c7c49d99b18091aadaf1e8401c641e?pvs=21),Novate Mezzola (https://www.notion.so/Novate-Mezzola-a2b352fb0d07487cb22ffad258c4e766?pvs=21),Novate (https://www.notion.so/Novate-11c7c49d99b180eead97dde5ee1a4266?pvs=21),,Cii,2,49,9,9,5,0.357142857143,0.642857142857,Cii
1861 (https://www.notion.so/1861-11c7c49d99b18091aadaf1e8401c641e?pvs=21),Novate Mezzola (https://www.notion.so/Novate-Mezzola-a2b352fb0d07487cb22ffad258c4e766?pvs=21),Novate (https://www.notion.so/Novate-11c7c49d99b180eead97dde5ee1a4266?pvs=21),,S Giorgio,1,69,17,17,9,0.346153846154,0.653846153846,S Giorgio
1861 (https://www.notion.so/1861-11c7c49d99b18091aadaf1e8401c641e?pvs=21),Novate Mezzola (https://www.notion.so/Novate-Mezzola-a2b352fb0d07487cb22ffad258c4e766?pvs=21),Novate (https://www.notion.so/Novate-11c7c49d99b180eead97dde5ee1a4266?pvs=21),,Codera,1,199,46,46,25,0.352112676056,0.647887323944,Codera
